,2023-04-03,2023-04-05,2023-04-06
BAJAJ-AUTO.NS,3993.75,4023.14990234375,4033.60009765625
BAJAJFINSV.NS,1282.949951171875,1279.300048828125,1303.949951171875
COLPAL.NS,1524.5,1541.1500244140625,1538.5999755859375
DIXON.NS,2893.0,2929.14990234375,2887.449951171875
HDFCBANK.NS,1610.550048828125,1653.75,1666.3499755859375
HDFC.NS,2628.949951171875,2705.949951171875,2729.300048828125
HEROMOTOCO.NS,2431.10009765625,2432.199951171875,2426.449951171875
INFY.NS,1410.8499755859375,1423.550048828125,1421.9000244140625
ITC.NS,378.8999938964844,386.3999938964844,387.3500061035156
KANSAINER.NS,388.20001220703125,389.8999938964844,391.8999938964844
LT.NS,2170.14990234375,2257.75,2274.25
M&M.NS,1169.9000244140625,1155.449951171875,1171.25
NESTLEIND.NS,19705.44921875,19822.05078125,19708.25
PIDILITIND.NS,2327.60009765625,2322.449951171875,2332.050048828125
PGHH.NS,14031.349609375,14136.650390625,14175.349609375
RELIANCE.NS,2331.449951171875,2325.85009765625,2341.449951171875
TCS.NS,3200.0,3239.800048828125,3220.699951171875
TATASTEEL.NS,104.0999984741211,104.8499984741211,104.3499984741211
TITAN.NS,2537.39990234375,2572.699951171875,2548.449951171875
ULTRACEMCO.NS,7640.5,7691.9501953125,7701.85009765625
