,Qty,2023-05-09,2023-05-09_Value,2023-05-10,2023-05-10_Value,2023-05-11,2023-05-11_Value,2023-05-12,2023-05-12_Value,2023-05-15,2023-05-15_Value
BAJAJ-AUTO.NS,166,4528.85009765625,751789.1162109375,4555.9501953125,756287.732421875,4547.89990234375,754951.3837890625,4538.89990234375,753457.3837890625,4564.5498046875,757715.267578125
BAJAJFINSV.NS,530,1408.699951171875,746610.9741210938,1414.449951171875,749658.4741210938,1420.4000244140625,752812.0129394531,1423.449951171875,754428.4741210938,1421.3499755859375,753315.4870605469
COLPAL.NS,220,1582.050048828125,348051.0107421875,1604.550048828125,353001.0107421875,1626.1500244140625,357753.00537109375,1627.699951171875,358093.9892578125,1673.6500244140625,368203.00537109375
DIXON.NS,25,2898.949951171875,72473.74877929688,2892.25,72306.25,2911.699951171875,72792.49877929688,2867.550048828125,71688.75122070312,2937.85009765625,73446.25244140625
HDFCBANK.NS,100,1644.5,164450.0,1652.0999755859375,165209.99755859375,1653.199951171875,165319.9951171875,1667.800048828125,166780.0048828125,1675.800048828125,167580.0048828125
HEROMOTOCO.NS,25,2591.550048828125,64788.751220703125,2586.050048828125,64651.251220703125,2585.449951171875,64636.248779296875,2605.89990234375,65147.49755859375,2691.89990234375,67297.49755859375
HDFC.NS,50,2750.050048828125,137502.50244140625,2752.64990234375,137632.4951171875,2767.14990234375,138357.4951171875,2776.300048828125,138815.00244140625,2784.35009765625,139217.5048828125
INFY.NS,832,1270.699951171875,1057222.359375,1263.25,1051024.0,1256.0999755859375,1045075.1796875,1245.199951171875,1036006.359375,1258.3499755859375,1046947.1796875
ITC.NS,5000,423.7999877929688,2118999.938964844,425.3500061035156,2126750.030517578,420.3999938964844,2101999.969482422,420.4500122070313,2102250.0610351567,427.7999877929688,2138999.938964844
KANSAINER.NS,9900,396.8999938964844,3929309.9395751953,404.9500122070313,4009005.12084961,410.2999877929688,4061969.879150391,418.3500061035156,4141665.0604248047,410.6499938964844,4065434.9395751953
LT.NS,1080,2374.35009765625,2564298.10546875,2364.449951171875,2553605.947265625,2242.14990234375,2421521.89453125,2221.10009765625,2398788.10546875,2246.85009765625,2426598.10546875
M&M.NS,1440,1245.449951171875,1793447.9296875,1248.6500244140625,1798056.03515625,1251.300048828125,1801872.0703125,1275.949951171875,1837367.9296875,1285.6500244140625,1851336.03515625
NESTLEIND.NS,25,21971.349609375,549283.740234375,22050.0,551250.0,22019.80078125,550495.01953125,21794.150390625,544853.759765625,21786.599609375,544664.990234375
PIDILITIND.NS,7900,2471.75,19526825.0,2509.39990234375,19824259.228515625,2566.449951171875,20274954.614257812,2587.25,20439275.0,2550.35009765625,20147765.771484375
PGHH.NS,50,13785.7998046875,689289.990234375,13714.75,685737.5,13780.25,689012.5,13940.7001953125,697035.009765625,13976.2001953125,698810.009765625
RELIANCE.NS,402,2479.550048828125,996779.1196289062,2496.60009765625,1003633.2392578125,2480.300048828125,997080.6196289062,2484.35009765625,998708.7392578125,2489.25,1000678.5
TCS.NS,408,3283.25,1339566.0,3286.800048828125,1341014.419921875,3282.14990234375,1339117.16015625,3274.300048828125,1335914.419921875,3255.050048828125,1328060.419921875
TATASTEEL.NS,2500,109.5500030517578,273875.0076293945,109.25,273125.0,108.5500030517578,271375.0076293945,106.75,266875.0,107.6999969482422,269249.9923706055
TITAN.NS,50,2748.39990234375,137419.9951171875,2745.449951171875,137272.49755859375,2757.85009765625,137892.5048828125,2773.199951171875,138659.99755859375,2779.550048828125,138977.50244140625
ULTRACEMCO.NS,62,7716.25,478407.5,7743.2001953125,480078.412109375,7835.4501953125,485797.912109375,7702.9501953125,477582.912109375,7760.9501953125,481178.912109375
